YEAR,OPID,Weekday usage,Weekend usage
2021,1000001,120,120
2021,1000002,120,120
2021,100001,120,120
2021,100002,,
2021,100003,60,60
2021,10001,90,90
2021,10002,120,180
2021,100020001,30,40
2021,100020002,20,30
2021,100020003,20,20
2021,10003,60,120
2021,100030001,5,15
2021,10004,120,180
2021,100050001,30,30
2021,100050002,20,20
2021,100050003,20,20
2021,100060001,30,40
2021,100060002,10,10
2021,100060003,30,30
2021,100060004,30,30
2021,100070001,20,20
2021,100070002,10,20
2021,100080001,20,20
2021,100080002,40,40
2021,100090001,30,30
2021,100090002,20,30
2021,100120001,10,10
2021,100120002,30,30
2021,100130001,10,10
2021,100130002,60,60
2021,100140001,10,10
2021,100140002,15,15
2021,100160001,30,30
2021,100160002,30,30
2021,100160003,60,60
2021,100170001,30,30
2021,100170002,60,60
2021,100170003,60,60
2021,100180001,15,15
2021,100180002,15,20
2021,100190001,20,30
2021,100190002,0,60
2021,100190003,60,120
2021,100200001,60,60
2021,100200002,60,120
2021,100200003,60,60
2021,10020001,90,90
2021,10020002,40,90
2021,10020003,90,120
2021,100210001,120,60
2021,100210002,60,60
2021,100250001,150,100
2021,100250002,150,150
2021,100250003,120,120
2021,100260001,,
2021,100260002,,
2021,100270001,60,60
2021,100270002,120,60
2021,100280001,30,30
2021,100280002,,
2021,100290001,120,60
2021,100290002,120,60
2021,100290003,120,60
2021,100290004,120,60
2021,100300001,120,60
2021,100300002,90,60
2021,100300003,60,60
2021,100300004,60,60
2021,100310001,60,30
2021,100310002,120,60
2021,100310003,120,60
2021,100320001,,
2021,100320002,120,60
2021,100330001,120,60
2021,100330002,60,60
2021,100330003,120,60
2021,100360001,30,30
2021,100360002,10,10
2021,100360003,70,60
2021,100370001,60,30
2021,100370002,30,30
2021,100380001,10,10
2021,100380002,10,10
2021,100390001,30,30
2021,100390002,30,30
2021,100400001,10,10
2021,100400002,15,15
2021,10040001,120,120
2021,10040002,40,30
2021,10040003,50,30
2021,100410001,60,120
2021,100410002,20,30
2021,100420001,20,60
2021,100420002,15,15
2021,100420003,,
2021,100430001,,
2021,100440001,,
2021,100440002,20,20
2021,100440003,60,120
2021,100440004,40,90
2021,100450001,,
2021,100460001,10,20
2021,100460002,15,30
2021,100460003,20,60
2021,100470001,,
2021,100480001,,
2021,100490001,,
2021,100490002,10,10
2021,100490003,20,30
2021,100490004,20,60
2021,100490005,20,60
2021,100500001,20,20
2021,100500002,10,10
2021,10050001,20,20
2021,10050002,30,10
2021,100510001,10,10
2021,100510002,60,100
2021,100520001,10,10
2021,100520002,15,15
2021,100520003,60,90
2021,100530001,10,10
2021,100530002,15,15
2021,100530003,15,40
2021,100540001,10,10
2021,100540002,,
2021,100550001,,
2021,100550002,15,40
2021,100550003,30,60
2021,100560001,10,10
2021,100560002,80,119
2021,100570001,10,10
2021,100570002,30,30
2021,100570003,60,90
2021,10060001,30,60
2021,10060002,30,60
2021,10060003,120,240
2021,10060004,30,50
2021,100620001,40,90
2021,100620002,20,20
2021,100620003,60,180
2021,100630001,120,240
2021,100630002,120,160
2021,100640001,60,60
2021,100650001,60,60
2021,100650002,30,30
2021,100660001,60,60
2021,100660002,20,20
2021,100670001,120,120
2021,100670002,10,10
2021,100670003,60,60
2021,100680001,120,120
2021,100680002,10,10
2021,100680003,60,60
2021,100690001,60,60
2021,100690002,30,30
2021,100690003,60,60
2021,100700001,60,60
2021,100700002,30,30
2021,100700003,60,60
2021,10070001,,
2021,100710001,,
2021,100720001,,
2021,100730001,20,60
2021,100730002,40,80
2021,100730003,60,120
2021,100750002,60,120
2021,100760001,10,70
2021,100760002,40,30
2021,100760003,20,20
2021,100770001,20,60
2021,100780001,60,90
2021,100780002,30,50
2021,100790001,20,20
2021,100800001,30,60
2021,100800002,20,50
2021,10080001,180,240
2021,100820001,60,90
2021,100820002,15,0
2021,100820003,30,60
2021,100830001,20,40
2021,100830002,20,50
2021,100830003,30,20
2021,100830004,20,80
2021,100840002,20,50
2021,100860001,,
2021,100860002,,
2021,100860003,30,60
2021,100870001,,
2021,100870002,,
2021,100880001,40,20
2021,100880002,20,50
2021,100880003,90,180
2021,100880004,120,300
2021,10090001,30,30
2021,100910001,20,60
2021,100910002,20,60
2021,100910003,180,180
2021,100910004,10,10
2021,10100001,5,5
2021,1010002,90,180
2021,1010003,60,60
2021,1010004,30,90
2021,10110001,10,30
2021,101110001,270,90
2021,101110002,80,130
2021,101110003,20,120
2021,101140001,30,60
2021,101140002,20,20
2021,101140003,20,20
2021,101140004,20,10
2021,101150001,,
2021,101150002,60,120
2021,101150003,,
2021,101150004,,
2021,101180001,90,0
2021,101180002,15,0
2021,101180003,180,60
2021,101190001,120,120
2021,101190002,90,90
2021,101190003,180,180
2021,101200001,90,120
2021,101200002,60,30
2021,101200003,30,60
2021,101210001,30,30
2021,101210002,300,480
2021,101210003,150,300
2021,101210004,120,240
2021,101220001,60,60
2021,101220002,60,60
2021,10130002,60,120
2021,10130003,120,120
2021,10140001,,
2021,10150001,,
2021,101550001,60,180
2021,101550002,200,90
2021,101560001,180,180
2021,101560002,160,240
2021,101570001,,
2021,101570002,90,90
2021,101570003,240,220
2021,101580001,120,180
2021,101580002,240,240
2021,101580003,160,240
2021,101590001,120,120
2021,101590002,180,240
2021,101590003,270,9
2021,101590004,,
2021,101600001,180,180
2021,10160001,,
2021,101610001,180,180
2021,101610002,100,120
2021,101610003,180,240
2021,101610004,160,220
2021,101620001,,
2021,101620002,,
2021,101620003,270,240
2021,101630001,90,120
2021,101640001,210,240
2021,101650001,60,0
2021,101660001,120,210
2021,101690001,,
2021,101700001,,
2021,101700002,,
2021,101700003,240,120
2021,101700004,,
2021,101710001,150,100
2021,101710002,170,50
2021,101710003,120,120
2021,101720001,,
2021,101720002,240,60
2021,101720003,220,120
2021,101720004,180,180
2021,101730001,0,150
2021,101730002,60,120
2021,101730003,210,150
2021,101730004,120,240
2021,101740001,,
2021,101740002,270,30
2021,101740003,120,120
2021,101800001,60,60
2021,101800002,60,50
2021,101800003,60,60
2021,101810001,90,60
2021,101810002,60,90
2021,101810003,60,90
2021,101820001,90,210
2021,101820002,150,300
2021,101830001,5,5
2021,101830002,3,5
2021,101840001,,
2021,101840003,20,120
2021,101850001,60,120
2021,101850002,60,60
2021,101860002,10,30
2021,101860003,120,90
2021,101870001,60,90
2021,101870002,60,30
2021,101870003,90,150
2021,101870004,90,120
2021,101880001,30,30
2021,101880002,15,30
2021,101880003,20,60
2021,101890001,150,300
2021,101890002,30,120
2021,101890003,180,300
2021,101900001,60,90
2021,101900002,60,60
2021,101900003,50,50
2021,101900004,20,20
2021,10190001,,
2021,10190002,10,10
2021,101910001,60,120
2021,101910002,30,30
2021,101910003,90,120
2021,101920001,40,60
2021,101920002,30,30
2021,101920003,90,120
2021,101930001,30,30
2021,101930002,60,120
2021,101930003,60,60
2021,101930004,90,120
2021,101940001,30,30
2021,101940002,,
2021,101950001,90,120
2021,101950002,90,120
2021,101950003,90,90
2021,101950004,60,90
2021,101960001,,
2021,101970001,,
2021,101970002,,
2021,101980001,80,150
2021,101980002,20,20
2021,101980003,60,120
2021,101980004,120,180
2021,101990001,,
2021,102000001,150,150
2021,1020002,,
2021,1020003,120,120
2021,102010001,90,150
2021,102010002,150,60
2021,102020001,60,90
2021,102020002,30,60
2021,102020003,150,210
2021,102030001,50,90
2021,102030002,60,120
2021,102030003,60,120
2021,102040001,60,150
2021,102040002,60,120
2021,102050001,30,30
2021,102050002,60,60
2021,102060001,,
2021,102060002,10,10
2021,102070001,60,150
2021,102070002,10,20
2021,102070003,60,120
2021,102070004,60,120
2021,102070005,60,90
2021,102080001,30,40
2021,102080002,20,20
2021,102080003,30,40
2021,102080004,30,40
2021,102090001,90,120
2021,102090002,40,50
2021,102090003,40,60
2021,102100001,60,120
2021,102100002,30,30
2021,102100003,60,120
2021,102100004,60,120
2021,10210001,30,50
2021,102110001,40,60
2021,102110002,90,120
2021,102120001,30,60
2021,102120002,40,60
2021,102130001,15,180
2021,102130002,30,180
2021,102140001,120,120
2021,102140002,40,40
2021,102150001,60,120
2021,102150002,30,90
2021,102150003,90,180
2021,102150004,120,180
2021,10220001,20,20
2021,10220002,10,10
2021,10220003,30,60
2021,102300001,30,30
2021,102300002,60,60
2021,10230001,60,60
2021,10230002,30,30
2021,10230003,20,60
2021,102310001,,
2021,102320001,30,30
2021,102320002,30,30
2021,102330001,30,30
2021,102330002,30,30
2021,102340001,30,60
2021,102340002,60,60
2021,102350001,60,60
2021,102360001,30,30
2021,102360002,30,30
2021,102370001,20,20
2021,102370002,60,30
2021,102380001,,
2021,102380002,,
2021,102390001,,
2021,102390002,,
2021,10240001,60,60
2021,10240002,60,60
2021,10240003,30,150
2021,10240004,120,90
2021,102420001,30,30
2021,102420002,,
2021,102430001,,
2021,102440001,30,30
2021,102450001,,
2021,102450002,10,10
2021,102460001,,
2021,102470001,60,60
2021,102470002,,
2021,102480001,30,30
2021,102480002,60,60
2021,102480003,30,30
2021,102490001,60,60
2021,102500001,30,30
2021,102500002,60,60
