YEAR,OPID,Weekday usage,Weekend usage
2021,10250001,60,150
2021,10250002,120,180
2021,102510001,30,30
2021,102510002,30,30
2021,102540001,10,10
2021,102540002,30,30
2021,102560001,60,60
2021,102560002,30,20
2021,102570001,60,80
2021,102570002,60,90
2021,102580001,,
2021,102580002,20,20
2021,102590001,60,60
2021,102590002,30,30
2021,102600003,20,20
2021,10260001,40,0
2021,10260002,20,20
2021,102610001,10,20
2021,102610002,20,20
2021,102620001,10,10
2021,102620002,5,10
2021,102630001,10,10
2021,102630002,10,10
2021,102640001,10,10
2021,102640002,20,20
2021,102660001,60,60
2021,102660002,40,80
2021,102670001,5,5
2021,102670002,20,20
2021,102680001,20,20
2021,102690001,10,10
2021,10270001,,
2021,10270002,,
2021,102720001,10,10
2021,102720002,10,20
2021,102730002,40,90
2021,102730003,20,20
2021,102750001,5,10
2021,102750002,10,10
2021,102760001,20,30
2021,102760002,20,30
2021,102780001,0,60
2021,102790001,30,30
2021,102800001,60,120
2021,102800002,0,30
2021,10280002,15,40
2021,102810001,0,30
2021,102810002,10,10
2021,102820001,10,30
2021,102820002,0,30
2021,102830001,0,30
2021,102830002,0,10
2021,102840001,,
2021,102840002,120,180
2021,102850001,0,30
2021,102850002,30,30
2021,102860001,0,90
2021,102860002,30,30
2021,102870001,60,60
2021,102870002,30,30
2021,102880001,30,30
2021,102880002,60,90
2021,102900001,30,90
2021,102900002,80,60
2021,10290001,90,90
2021,10290002,150,180
2021,102910001,120,180
2021,102920001,120,60
2021,102920002,120,30
2021,102930001,30,60
2021,102930002,80,180
2021,102940001,90,150
2021,102940002,120,180
2021,102950001,150,240
2021,102960001,60,300
2021,102970001,60,60
2021,10300001,60,90
2021,1030001,30,0
2021,1030002,60,60
2021,10310001,,
2021,10310002,,
2021,10320001,30,50
2021,10320002,40,80
2021,10320003,300,120
2021,10320004,60,120
2021,10320005,,
2021,10330001,60,120
2021,10330002,120,120
2021,10330003,90,120
2021,10330004,120,120
2021,103390001,300,180
2021,103390002,300,120
2021,103390003,0,150
2021,103390004,90,210
2021,103400001,90,120
2021,103400002,60,120
2021,103410001,35,0
2021,103410002,20,10
2021,103410003,60,0
2021,103410004,45,40
2021,103420001,10,10
2021,103420002,30,30
2021,103420003,10,10
2021,103420004,,
2021,103420005,10,0
2021,103430001,120,90
2021,103430002,5,5
2021,103430003,180,180
2021,103430004,150,240
2021,103440001,120,120
2021,103440002,10,10
2021,103440003,180,300
2021,103450001,,
2021,103450002,60,60
2021,103450003,0,90
2021,103450004,90,90
2021,103460001,0,120
2021,103460002,60,60
2021,103470001,40,110
2021,103470002,30,90
2021,103470003,60,120
2021,103470004,120,180
2021,10350002,120,150
2021,103540001,30,90
2021,103540002,,
2021,103560001,120,120
2021,103560002,30,30
2021,103560003,60,60
2021,103560004,240,240
2021,103570001,30,60
2021,103570002,180,240
2021,103570003,,
2021,103580001,150,240
2021,103580002,60,180
2021,103580003,60,120
2021,103580004,30,60
2021,103580005,10,10
2021,103580006,,
2021,103590001,120,120
2021,103590002,60,60
2021,103590003,60,60
2021,103590004,120,120
2021,103600001,30,30
2021,103600002,60,180
2021,103600003,90,240
2021,10360001,60,30
2021,10360003,30,60
2021,103610001,120,240
2021,103610002,30,60
2021,103610003,45,90
2021,103620001,20,10
2021,103620002,30,50
2021,103620003,10,90
2021,103620004,120,120
2021,103620005,60,30
2021,103630001,120,120
2021,103630002,,
2021,103660001,5,10
2021,103660002,240,480
2021,103660003,60,90
2021,103670001,10,10
2021,103670002,10,10
2021,103680001,20,10
2021,103680002,10,0
2021,103700001,10,10
2021,103700002,10,10
2021,10370001,60,180
2021,10370002,30,30
2021,103710001,30,10
2021,103710002,10,0
2021,103710003,10,5
2021,103710004,,
2021,103720001,10,5
2021,103720002,10,5
2021,103720003,20,10
2021,103720004,15,10
2021,103730001,10,5
2021,103730002,10,10
2021,103740001,,
2021,103740002,10,10
2021,103750001,5,5
2021,103750002,20,0
2021,103750003,10,5
2021,103750004,10,10
2021,103760001,,
2021,103760002,,
2021,103840001,0,10
2021,103840002,30,30
2021,103840003,60,120
2021,103840004,120,300
2021,103840005,120,240
2021,103850001,20,20
2021,103850002,30,30
2021,103850003,60,180
2021,103850004,120,270
2021,103860001,10,10
2021,103870001,90,180
2021,103870002,60,30
2021,103880001,,
2021,103880002,,
2021,103890001,30,30
2021,103890002,150,180
2021,103900001,0,60
2021,10390001,15,15
2021,10390002,90,30
2021,103910001,60,60
2021,103910002,,
2021,103910003,150,90
2021,103910004,180,60
2021,10400001,40,70
2021,1040001,90,120
2021,1040002,30,30
2021,1040003,120,180
2021,10410001,10,30
2021,10410002,,
2021,10410101,10,10
2021,10410102,,
2021,104130001,30,60
2021,104130002,30,90
2021,104130003,30,120
2021,104130004,120,180
2021,104140001,,
2021,104140002,180,180
2021,104140003,180,300
2021,104140004,300,360
2021,104150001,,
2021,104150002,540,360
2021,104150003,60,60
2021,104150004,,
2021,104160001,20,20
2021,104170001,90,180
2021,104170002,60,180
2021,104170003,180,60
2021,104170004,90,120
2021,104180001,,
2021,104180002,60,60
2021,104180003,270,360
2021,104190001,20,20
2021,104210002,120,60
2021,104220001,,
2021,104220002,5,5
2021,104220003,90,120
2021,104220102,60,60
2021,104230001,,
2021,104230002,,
2021,104230003,240,300
2021,104230004,180,300
2021,104240001,30,40
2021,104240002,,
2021,104240003,30,60
2021,104250001,,
2021,104250002,,
2021,104250003,,
2021,104250004,10,10
2021,104270001,120,180
2021,104270002,180,300
2021,104270003,120,150
2021,104270004,30,120
2021,104280002,,
2021,104280101,300,300
2021,104280102,600,600
2021,104290001,30,90
2021,104290002,30,30
2021,104290003,60,150
2021,104300001,60,60
2021,104300002,60,60
2021,104300003,150,150
2021,104460001,30,50
2021,104460002,30,40
2021,104460003,90,120
2021,104460004,60,120
2021,104470001,,
2021,104470002,,
2021,104480001,,
2021,104480002,,
2021,104490001,30,60
2021,104490002,90,90
2021,104500001,30,30
2021,104500002,30,30
2021,104500003,120,180
2021,104500004,180,360
2021,10450001,20,20
2021,10450002,15,15
2021,10450003,15,15
2021,104510001,60,60
2021,104510002,60,0
2021,104510003,180,180
2021,104540001,60,60
2021,104540002,30,30
2021,104550001,,
2021,104550002,,
2021,104550003,90,120
2021,104550004,120,120
2021,104560001,,
2021,104560002,70,70
2021,104560003,60,80
2021,104560004,180,120
2021,104670001,60,180
2021,104670002,60,120
2021,104670004,120,180
2021,104670101,60,120
2021,104670102,60,90
2021,104680001,,
2021,104680002,,
2021,104690001,,
2021,104690002,,
2021,104690004,30,30
2021,104690101,120,300
2021,104700001,180,120
2021,10470001,60,60
2021,104700101,360,180
2021,104710001,30,30
2021,104710002,10,50
2021,104710003,180,240
2021,104710004,180,120
2021,104720001,10,30
2021,104720002,30,30
2021,104720003,90,0
2021,104720004,60,90
2021,104720005,,
2021,104730001,,
2021,104730002,,
2021,104730003,,
2021,104730004,300,420
2021,104740001,0,120
2021,104740002,10,10
2021,104750001,30,90
2021,104750002,120,300
2021,104750003,,
2021,104760001,,
2021,104760002,300,120
2021,104760003,0,300
2021,104760004,60,120
2021,104770001,,
2021,104780001,,
2021,104780002,,
2021,104780003,,
2021,104780004,,
2021,104790001,120,120
2021,104790002,60,60
2021,104790003,60,120
2021,104790004,60,120
2021,104800001,120,240
2021,104800002,150,90
2021,104800003,0,60
2021,10480001,20,30
2021,10480002,40,50
2021,10480003,20,90
2021,10480004,30,100
2021,104810001,,
2021,104810002,,
2021,104810003,50,50
2021,104820001,30,60
2021,104820002,30,60
2021,104820003,30,150
2021,104820004,30,30
2021,104830001,180,30
2021,104830002,150,60
2021,104830003,60,60
2021,104840001,120,240
2021,104840002,180,300
2021,104850001,60,120
2021,104850002,60,120
2021,104850003,30,60
2021,104850004,30,60
2021,104860001,,
2021,104860003,60,60
2021,104860004,,
2021,104860101,300,420
2021,104860102,240,420
2021,104870001,30,10
2021,104870002,60,60
2021,104870003,80,15
2021,104870004,50,50
2021,104880001,90,210
2021,104880002,30,30
2021,104880003,60,120
2021,104890001,30,60
2021,104890002,60,60
2021,104890003,,
2021,104900001,150,260
2021,104900002,180,120
2021,104900003,180,270
2021,104900004,,
2021,10490001,30,40
2021,10490002,50,40
2021,10490003,40,30
2021,10490004,50,40
2021,104910001,,
2021,104910002,60,60
2021,104910003,120,120
2021,104920001,60,60
2021,104920002,60,60
2021,104920003,60,60
2021,104920004,60,60
2021,104930001,30,30
2021,104930002,,
2021,104930003,0,120
2021,104930004,0,120
2021,104940001,30,30
2021,104940002,,
2021,104940003,,
2021,104950001,,
2021,104950002,,
2021,104950003,,
2021,104960001,120,360
2021,104960002,240,360
2021,104960003,90,180
2021,104960004,90,180
2021,104970001,210,90
2021,104970002,120,30
2021,104970003,60,120
2021,104980001,30,30
2021,104980002,30,30
2021,104980003,10,10
2021,104980004,30,0
2021,104990001,120,240
2021,104990002,240,240
2021,104990003,360,360
2021,104990004,240,240
2021,105020001,60,60
2021,105020002,30,30
2021,105020003,60,60
2021,105030001,60,60
2021,105030002,40,40
2021,105030003,80,80
2021,105040001,,
2021,105040002,,
2021,105050001,120,120
2021,105050002,,
2021,105060001,100,100
2021,105060002,120,120
2021,105070001,30,30
2021,105070002,60,60
2021,105070003,60,60
2021,105080001,30,10
2021,105080002,30,30
2021,105080003,40,40
2021,105090001,20,20
2021,105090002,60,60
2021,105100001,60,60
2021,105100002,30,30
2021,105100003,60,60
2021,105110001,60,60
2021,105110002,20,20
2021,105120001,60,60
2021,105120002,,
2021,105120003,80,80
2021,105120004,80,80
2021,105130001,60,60
2021,105130002,30,30
2021,105130003,30,30
2021,105140001,60,60
2021,105140002,60,60
2021,105140003,60,60
2021,105150001,30,30
2021,105150002,30,30
2021,105150003,30,30
2021,105160001,30,30
2021,105160002,40,30
2021,105170001,30,30
2021,105170002,60,60
2021,105170003,40,50
2021,105180001,60,120
2021,105180002,90,180
2021,105190001,40,40
2021,105190002,50,50
2021,105190003,60,60
2021,105190004,60,60
2021,105200001,30,30
2021,105210001,30,30
2021,105210002,40,30
2021,105210003,60,60
2021,105210004,30,30
2021,105220001,30,30
2021,105220002,30,30
2021,105220003,60,60
2021,105230001,20,20
2021,105230002,30,30
2021,105230003,60,60
2021,105250001,40,30
2021,105250002,40,30
2021,105250003,60,60
2021,105260001,40,30
2021,105260002,30,60
2021,105260003,40,40
2021,105270001,40,120
2021,105270002,30,120
2021,105270003,60,120
2021,105270004,30,90
2021,105280001,30,90
2021,105280002,15,30
2021,105290001,30,60
2021,10530001,30,60
2021,10530002,60,120
2021,10530003,60,120
2021,105310001,20,20
2021,105320001,30,120
2021,105320002,30,60
2021,105320003,60,120
2021,105330001,20,40
2021,105330002,30,60
2021,105340001,30,60
2021,105340002,60,60
2021,105340003,60,60
2021,105340004,60,60
2021,105390001,,
2021,105390002,180,180
2021,105390003,100,150
2021,10540001,60,110
2021,10540002,60,110
2021,105430001,,
2021,105440001,20,20
2021,105440002,0,20
2021,105440003,20,20
2021,105440004,0,15
2021,105450001,30,10
2021,105450002,15,15
2021,105450003,20,20
2021,105450004,20,20
2021,105460001,10,10
2021,105470001,10,15
2021,105470002,10,10
2021,105470003,10,10
2021,105480001,15,15
2021,105480002,10,10
2021,105490001,10,15
2021,105490002,10,10
2021,105500001,30,30
2021,105500002,10,10
2021,10550001,80,140
2021,10550002,90,140
2021,10550003,80,160
2021,10550004,60,120
2021,10550005,60,110
2021,105510001,20,20
2021,105510002,10,10
2021,105510003,30,40
2021,105530001,20,20
2021,105530002,20,30
2021,105540001,20,20
2021,105540002,30,30
2021,105550001,30,20
2021,105550002,10,0
2021,105560001,30,30
2021,105560002,10,10
2021,105570001,20,30
2021,105570002,20,10
2021,105580001,10,10
2021,105580002,10,10
2021,105590001,10,10
2021,105590002,30,35
2021,105590003,40,40
2021,105590004,60,60
2021,105600001,20,0
2021,105600002,15,15
2021,105600004,30,30
2021,10560001,60,110
2021,10560002,20,30
2021,10560003,65,120
2021,105610001,20,0
2021,105620001,90,30
2021,105620002,40,20
2021,105630001,20,10
2021,105630002,30,30
2021,105630003,30,30
2021,10570001,50,140
2021,10570002,40,80
2021,10570004,30,80
2021,10580001,60,140
2021,10580002,60,120
2021,10580003,60,150
2021,10580004,60,210
2021,10600001,60,90
2021,10600002,40,100
2021,1060001,10,15
2021,1060002,15,15
2021,10610001,40,60
2021,10610002,90,120
2021,106150001,40,60
2021,106150002,40,50
2021,106150003,60,40
2021,106160001,40,50
2021,106160002,60,60
2021,106160003,60,60
2021,106160004,60,50
2021,106170001,20,60
2021,106170002,20,30
2021,106180001,30,60
2021,106180002,20,30
2021,106190001,,
2021,106200001,30,60
2021,106200002,60,60
2021,10620001,80,80
2021,10620002,40,40
2021,106210001,,
2021,106220001,40,60
2021,106220002,30,30
2021,106230001,,
2021,106230002,20,40
2021,106240001,30,30
2021,106240002,20,20
2021,106240003,60,60
2021,106250001,30,60
2021,106250002,60,60
2021,106250003,120,180
2021,106260001,30,60
2021,106260002,30,50
2021,106270001,10,10
2021,106270002,10,10
2021,106270003,,
2021,106280001,60,60
2021,106280002,10,10
2021,106280003,90,120
2021,106290001,40,40
2021,106290002,20,10
2021,106300001,10,10
2021,106300002,20,10
2021,106300003,,
2021,10630001,,
2021,10630002,150,120
2021,106310001,30,30
2021,106320001,10,10
2021,106320002,20,10
2021,106330001,60,60
2021,106330002,20,20
2021,106330003,,
2021,106340001,30,30
2021,106340002,30,30
2021,106350001,30,30
2021,106350002,40,40
2021,106360001,30,40
2021,106360002,20,30
2021,106360003,20,30
2021,106360004,40,30
2021,106370001,20,20
2021,106370002,30,30
2021,106370003,20,30
2021,106380001,30,30
2021,106380002,40,30
2021,106380003,40,50
2021,106390001,40,30
2021,106390002,40,30
2021,106390003,20,30
2021,106390004,20,30
2021,106400001,40,50
2021,106400002,40,50
2021,106400003,40,50
2021,106400004,50,40
2021,106410001,30,40
2021,106410002,20,30
2021,10650001,120,180
2021,10650002,90,180
2021,10650003,40,40
2021,10650004,30,30
2021,10660001,120,120
2021,10660002,90,120
2021,10660003,120,180
2021,106650001,30,30
2021,106650002,30,30
2021,106660001,30,30
2021,106660002,10,10
2021,106660003,30,60
2021,106670001,10,10
2021,106670002,10,10
2021,106670003,60,60
2021,106680001,60,60
2021,106680002,30,30
2021,106690001,20,20
2021,106690002,10,10
2021,106690003,30,60
2021,106700001,10,30
2021,106700002,10,10
2021,10670001,30,30
2021,10670002,60,60
2021,10670003,120,20
2021,10670004,120,120
2021,10670005,120,270
2021,106710001,10,10
2021,106710002,10,10
2021,106720001,10,10
2021,106720002,10,10
2021,106730002,20,30
2021,106730003,30,30
2021,106730004,60,60
2021,106740001,90,180
2021,106740002,20,10
2021,106740003,180,360
2021,106740004,300,420
2021,106750001,15,15
2021,106750002,20,20
2021,106760001,20,20
2021,106760002,,
2021,106780001,15,15
2021,106780002,15,10
2021,106790001,30,30
2021,106790002,15,15
2021,106800001,20,20
2021,106800002,10,10
2021,10680001,60,120
2021,10680002,180,180
2021,10680003,100,100
2021,10680004,40,40
2021,106810001,10,10
2021,106810002,10,10
2021,106820001,20,20
2021,106830001,60,120
2021,106850001,30,30
2021,106860001,30,30
2021,106870001,20,20
2021,106880001,10,10
2021,106890001,20,20
2021,106890002,10,10
2021,106890003,30,30
2021,106890004,10,10
2021,106900001,10,10
2021,10690002,120,120
2021,10690003,60,60
2021,10690004,60,90
2021,106910001,10,10
2021,106920001,30,30
2021,106930001,15,15
2021,106950001,,
2021,106960001,,
2021,106960002,,
2021,106980001,20,30
2021,106980002,60,60
2021,106990001,,
2021,106990002,40,60
2021,107000001,20,60
2021,107000002,10,10
2021,10700001,,
2021,10700002,,
2021,1070001,10,15
2021,1070002,20,20
2021,107010001,10,30
2021,107010002,10,30
2021,107020001,30,120
2021,107030001,40,120
2021,107030002,30,30
2021,107030004,60,120
2021,107030101,60,120
2021,107040001,30,90
2021,107040002,60,120
2021,107050001,60,120
2021,107050002,50,90
2021,107050003,40,60
2021,107050004,120,180
2021,107060001,60,120
2021,107060002,30,60
2021,107060003,60,180
2021,107060004,60,120
2021,107070001,40,120
2021,107070002,30,90
2021,107070003,30,60
2021,107080001,10,10
2021,107080002,10,10
2021,107090001,20,20
2021,107090002,20,20
2021,107100001,20,20
2021,107100002,10,10
2021,10710001,,
2021,107110001,60,180
2021,107110002,90,120
2021,107110003,60,150
2021,107120001,60,120
2021,107120002,30,30
2021,10720001,40,40
2021,10720002,90,90
2021,10720003,120,270
2021,10720004,120,180
2021,10730001,60,120
2021,10730002,120,180
2021,10730003,,
2021,10740001,60,60
2021,10740002,60,60
2021,10740003,30,30
2021,10750001,60,150
2021,10750002,40,40
2021,10750003,120,120
2021,10750004,30,60
2021,107540001,30,30
2021,107540002,60,30
2021,107550001,30,60
2021,107550002,20,30
2021,107560001,30,30
2021,107560002,0,120
2021,107560003,120,120
2021,107570001,30,60
2021,107570002,60,30
2021,107580001,30,60
2021,107580002,60,60
2021,107590001,30,30
2021,107590002,20,20
2021,10760001,20,0
2021,10760002,30,30
2021,10760004,90,220
2021,10760005,30,60
2021,107610001,30,90
2021,107610002,60,90
2021,107620001,20,30
2021,107620002,120,180
2021,107620003,30,30
2021,107630001,,
2021,107660001,10,20
2021,107670001,30,30
2021,107670002,30,30
2021,107670003,30,30
2021,107700001,15,20
2021,107700002,15,15
2021,107700003,20,20
2021,107700004,10,10
2021,107710001,20,30
2021,107710002,20,20
2021,107730001,30,30
2021,107730002,30,30
2021,107730003,20,20
2021,107740001,,
2021,107750001,20,20
2021,107750002,30,30
2021,107780002,,
2021,107790001,,
2021,107800002,40,90
2021,10780001,20,20
2021,10780002,60,60
2021,107810001,,
2021,107820001,90,120
2021,107830001,,
2021,107840001,50,100
2021,107850001,30,50
2021,107860001,15,15
2021,107870001,40,40
2021,107900001,50,30
2021,10790001,60,120
2021,10790002,0,180
2021,10790004,0,300
2021,107910001,,
2021,107920001,60,60
2021,107920002,20,20
2021,107930001,20,30
2021,107940002,20,20
2021,107950001,,
2021,107960003,100,120
2021,107990002,30,60
2021,108000001,,
2021,10800001,,
2021,1080002,30,30
2021,108010001,90,90
2021,108010002,60,40
2021,10810002,,
2021,10820001,,
2021,108240001,,
2021,108240002,,
2021,108250001,60,60
2021,108250002,60,60
2021,108280001,60,60
2021,108280002,60,60
2021,108290001,30,60
2021,108290002,30,30
2021,108300001,30,30
2021,108300002,120,120
2021,10830001,240,420
2021,10830002,60,60
2021,10830003,240,360
2021,10830004,180,240
2021,108320001,180,300
2021,108330001,180,240
2021,108340001,120,240
2021,108340002,180,240
2021,108350001,20,30
2021,108360001,120,240
2021,108380001,,
2021,108390001,,
2021,108420001,,
2021,108430001,,
