YEAR,OPID,ott_first,ott_second
2020,1010002,넷플릭스,유튜브
2020,1010004,넷플릭스,유튜브
2020,10110001,유튜브,
2020,101110001,유튜브,네이버 시리즈온(SERIES)
2020,101110002,유튜브,네이버 시리즈온(SERIES)
2020,101110003,유튜브,
2020,101120001,유튜브,티빙(Tving)
2020,101120002,티빙(Tving),유튜브
2020,101120003,유튜브,넷플릭스
2020,101130001,유튜브,네이버 시리즈온(SERIES)
2020,101130002,유튜브,U+ 모바일(구 U+비디오포털)
2020,101130003,유튜브,네이버 시리즈온(SERIES)
2020,101130004,유튜브,네이버 시리즈온(SERIES)
2020,101140001,유튜브,
2020,101140002,,
2020,101140003,유튜브,기타
2020,101140004,,
2020,101150001,유튜브,카카오 TV
2020,101150002,넷플릭스,카카오 TV
2020,101150003,,
2020,101150004,,
2020,101170001,유튜브,
2020,101170002,넷플릭스,유튜브
2020,101170004,유튜브,넷플릭스
2020,101180001,,
2020,101180002,유튜브,
2020,101180003,,
2020,101190001,유튜브,웨이브(Wavve)(구 푹(pooq)· 옥수수)
2020,101190002,유튜브,웨이브(Wavve)(구 푹(pooq)· 옥수수)
2020,101190003,유튜브,
2020,101200001,유튜브,
2020,101200002,유튜브,
2020,101200003,유튜브,
2020,10120001,유튜브,
2020,101210001,유튜브,
2020,101210002,웨이브(Wavve)(구 푹(pooq)· 옥수수),유튜브
2020,101210003,유튜브,네이버 시리즈온(SERIES)
2020,101210004,유튜브,
2020,101220001,네이버 시리즈온(SERIES),티빙(Tving)
2020,101220002,티빙(Tving),네이버 시리즈온(SERIES)
2020,10130002,넷플릭스,유튜브
2020,10130003,넷플릭스,유튜브
2020,10140001,,
2020,10150001,,
2020,101550001,웨이브(Wavve)(구 푹(pooq)· 옥수수),티빙(Tving)
2020,101550002,티빙(Tving),웨이브(Wavve)(구 푹(pooq)· 옥수수)
2020,101560001,웨이브(Wavve)(구 푹(pooq)· 옥수수),유튜브
2020,101560002,,
2020,101570001,,
2020,101570002,웨이브(Wavve)(구 푹(pooq)· 옥수수),네이버 시리즈온(SERIES)
2020,101570003,넷플릭스,웨이브(Wavve)(구 푹(pooq)· 옥수수)
2020,101580001,,
2020,101580002,넷플릭스,
2020,101580003,,
2020,101590001,,
2020,101590002,웨이브(Wavve)(구 푹(pooq)· 옥수수),유튜브
2020,101590003,웨이브(Wavve)(구 푹(pooq)· 옥수수),네이버 시리즈온(SERIES)
2020,101590004,,
2020,101600001,넷플릭스,유튜브
2020,10160001,,
2020,101610001,유튜브,
2020,101610002,,
2020,101610003,넷플릭스,유튜브
2020,101610004,유튜브,웨이브(Wavve)(구 푹(pooq)· 옥수수)
2020,101630001,넷플릭스,웨이브(Wavve)(구 푹(pooq)· 옥수수)
2020,101640001,웨이브(Wavve)(구 푹(pooq)· 옥수수),티빙(Tving)
2020,101650001,,
2020,101660001,티빙(Tving),웨이브(Wavve)(구 푹(pooq)· 옥수수)
2020,101670001,,
2020,101670002,,
2020,101670003,,
2020,101670004,,
2020,101690001,,
2020,101700001,,
2020,101700002,,
2020,101700003,웨이브(Wavve)(구 푹(pooq)· 옥수수),티빙(Tving)
2020,101700004,,
2020,101710001,유튜브,네이버 시리즈온(SERIES)
2020,101710002,웨이브(Wavve)(구 푹(pooq)· 옥수수),넷플릭스
2020,101710003,,
2020,101720001,,
2020,101720002,,
2020,101720003,,
2020,101720004,티빙(Tving),웨이브(Wavve)(구 푹(pooq)· 옥수수)
2020,101730001,,
2020,101730002,웨이브(Wavve)(구 푹(pooq)· 옥수수),
2020,101730003,넷플릭스,곰TV
2020,101730004,웨이브(Wavve)(구 푹(pooq)· 옥수수),티빙(Tving)
2020,101740001,,
2020,101740002,웨이브(Wavve)(구 푹(pooq)· 옥수수),유튜브
2020,101740003,,
2020,101800001,시즌(KT Seezn)(구 olleh tv 모바일),넷플릭스
2020,101800002,카카오 TV,넷플릭스
2020,101800003,티빙(Tving),넷플릭스
2020,101810001,웨이브(Wavve)(구 푹(pooq)· 옥수수),카카오 TV
2020,101810002,넷플릭스,카카오 TV
2020,101810003,넷플릭스,카카오 TV
2020,101820001,티빙(Tving),넷플릭스
2020,101820002,시즌(KT Seezn)(구 olleh tv 모바일),
2020,101830001,,
2020,101830002,,
2020,101840001,,
2020,101840003,유튜브,티빙(Tving)
2020,101850001,유튜브,
2020,101850002,,
2020,101860002,유튜브,
2020,101860003,유튜브,U+ 모바일(구 U+비디오포털)
2020,101870001,넷플릭스,카카오 TV
2020,101870002,카카오 TV,티빙(Tving)
2020,101870003,넷플릭스,카카오 TV
2020,101870004,넷플릭스,카카오 TV
2020,101880001,티빙(Tving),카카오 TV
2020,101880002,티빙(Tving),카카오 TV
2020,101880003,넷플릭스,카카오 TV
2020,101890001,카카오 TV,넷플릭스
2020,101890002,넷플릭스,카카오 TV
2020,101890003,유튜브,
2020,101900001,넷플릭스,카카오 TV
2020,101900002,넷플릭스,카카오 TV
2020,101900003,넷플릭스,유튜브
2020,101900004,유튜브,
2020,10190001,,
2020,10190002,유튜브,
2020,101910001,유튜브,
2020,101910002,유튜브,
2020,101910003,유튜브,티빙(Tving)
2020,101920001,유튜브,
2020,101920002,,
2020,101920003,유튜브,티빙(Tving)
2020,101930001,유튜브,
2020,101930002,유튜브,
2020,101930003,유튜브,
2020,101930004,유튜브,
2020,101940001,유튜브,
2020,101940002,,
2020,101950001,유튜브,
2020,101950002,유튜브,
2020,101950003,유튜브,
2020,101950004,유튜브,
2020,101960001,,
2020,101970001,,
2020,101970002,,
2020,101980001,유튜브,U+ 모바일(구 U+비디오포털)
2020,101980002,유튜브,
2020,101980003,유튜브,U+ 모바일(구 U+비디오포털)
2020,101980004,유튜브,티빙(Tving)
2020,101990001,,
2020,102000001,,
2020,1020002,,
2020,1020003,유튜브,
2020,102010001,유튜브,U+ 모바일(구 U+비디오포털)
2020,102010002,유튜브,
2020,102020001,유튜브,
2020,102020002,유튜브,
2020,102020003,유튜브,티빙(Tving)
2020,102020004,유튜브,티빙(Tving)
2020,102030001,유튜브,U+ 모바일(구 U+비디오포털)
2020,102030002,유튜브,U+ 모바일(구 U+비디오포털)
2020,102030003,유튜브,
2020,102040002,유튜브,U+ 모바일(구 U+비디오포털)
2020,102050001,티빙(Tving),유튜브
2020,102050002,유튜브,시즌(KT Seezn)(구 olleh tv 모바일)
2020,102060001,티빙(Tving),카카오 TV
2020,102060002,티빙(Tving),유튜브
2020,102070001,유튜브,U+ 모바일(구 U+비디오포털)
2020,102070002,유튜브,티빙(Tving)
2020,102070003,,
2020,102070005,U+ 모바일(구 U+비디오포털),유튜브
2020,102080001,티빙(Tving),카카오 TV
2020,102080002,티빙(Tving),카카오 TV
2020,102080003,유튜브,티빙(Tving)
2020,102080004,,
2020,102100001,유튜브,
2020,102100002,유튜브,
2020,102100003,유튜브,
2020,102100004,유튜브,
2020,10210001,유튜브,
2020,102110001,유튜브,U+ 모바일(구 U+비디오포털)
2020,102110002,유튜브,
2020,102120001,유튜브,
2020,102120002,유튜브,
2020,102130001,U+ 모바일(구 U+비디오포털),카카오 TV
2020,102130002,티빙(Tving),유튜브
2020,102140001,유튜브,
2020,102140002,티빙(Tving),유튜브
2020,102150001,,
2020,102150002,,
2020,102150003,웨이브(Wavve)(구 푹(pooq)· 옥수수),티빙(Tving)
2020,102150004,티빙(Tving),유튜브
2020,10220001,유튜브,
2020,10220002,유튜브,
2020,10220003,유튜브,넷플릭스
2020,102300001,유튜브,
2020,102300002,유튜브,네이버 시리즈온(SERIES)
2020,10230001,유튜브,
2020,10230002,유튜브,
2020,10230003,유튜브,넷플릭스
2020,102310001,,
2020,102320001,유튜브,
2020,102320002,유튜브,네이버 시리즈온(SERIES)
2020,102330001,유튜브,
2020,102330002,유튜브,
2020,102340001,유튜브,네이버 시리즈온(SERIES)
2020,102340002,네이버 시리즈온(SERIES),
2020,102350001,유튜브,
2020,102360001,유튜브,
2020,102360002,유튜브,
2020,102370001,유튜브,네이버 시리즈온(SERIES)
2020,102370002,유튜브,
2020,102380001,,
2020,102380002,,
2020,102390001,,
2020,102390002,,
2020,10240001,네이버 시리즈온(SERIES),유튜브
2020,10240002,유튜브,티빙(Tving)
2020,10240003,유튜브,티빙(Tving)
2020,10240004,유튜브,네이버 시리즈온(SERIES)
2020,102420001,,
2020,102420002,,
2020,102430001,,
2020,102440001,,
2020,102450001,,
2020,102450002,유튜브,
2020,102460001,,
2020,102470001,카카오 TV,왓챠
2020,102470002,,
2020,102480001,카카오 TV,넷플릭스
2020,102480002,네이버 시리즈온(SERIES),유튜브
2020,102480003,카카오 TV,넷플릭스
2020,102490001,카카오 TV,유튜브
2020,102500001,,
2020,102500002,유튜브,
2020,102510001,유튜브,카카오 TV
2020,102510002,카카오 TV,곰TV
2020,102540001,유튜브,
2020,102540002,넷플릭스,웨이브(Wavve)(구 푹(pooq)· 옥수수)
2020,102560001,유튜브,
2020,102560002,유튜브,
2020,102570001,유튜브,넷플릭스
2020,102570002,넷플릭스,유튜브
2020,102580001,,
2020,102580002,유튜브,
2020,102590001,유튜브,웨이브(Wavve)(구 푹(pooq)· 옥수수)
2020,102590002,웨이브(Wavve)(구 푹(pooq)· 옥수수),카카오 TV
2020,102600001,유튜브,
2020,102600003,웨이브(Wavve)(구 푹(pooq)· 옥수수),유튜브
2020,10260001,유튜브,
2020,10260002,유튜브,
2020,102610001,유튜브,
2020,102610002,웨이브(Wavve)(구 푹(pooq)· 옥수수),유튜브
2020,102620001,유튜브,
2020,102620002,유튜브,
2020,102630001,유튜브,
2020,102630002,유튜브,
2020,102640001,유튜브,
2020,102640002,유튜브,
2020,102660001,유튜브,
2020,102660002,유튜브,
2020,102670001,유튜브,
2020,102670002,유튜브,
2020,102680001,유튜브,
2020,102690001,유튜브,
2020,10270001,,
2020,10270002,,
2020,102720001,유튜브,
2020,102720002,유튜브,
2020,102730001,,
2020,102730002,유튜브,시즌(KT Seezn)(구 olleh tv 모바일)
2020,102730003,유튜브,기타
2020,102740001,,
2020,102740002,,
2020,102750001,유튜브,
2020,102750002,유튜브,
2020,102760001,유튜브,
2020,102760002,유튜브,
2020,102780001,유튜브,
2020,102790001,,
2020,102800001,,
2020,102800002,,
2020,10280002,유튜브,
2020,102810001,U+ 모바일(구 U+비디오포털),유튜브
2020,102810002,U+ 모바일(구 U+비디오포털),카카오 TV
2020,102820001,,
2020,102820002,,
2020,102830001,,
2020,102830002,,
2020,102840001,,
2020,102840002,,
2020,102850001,,
2020,102850002,,
2020,102860001,유튜브,
2020,102860002,유튜브,
2020,102870001,유튜브,
2020,102870002,,
2020,102880001,유튜브,
2020,102880002,유튜브,
2020,102900001,,
2020,102900002,유튜브,웨이브(Wavve)(구 푹(pooq)· 옥수수)
2020,10290001,유튜브,
2020,10290002,U+ 모바일(구 U+비디오포털),유튜브
2020,102910001,유튜브,
2020,102920001,넷플릭스,유튜브
2020,102920002,유튜브,
2020,102930001,유튜브,
2020,102930002,유튜브,
2020,102940001,,
2020,102940002,유튜브,
2020,102950001,유튜브,
2020,102960001,유튜브,네이버 시리즈온(SERIES)
2020,102970001,유튜브,
2020,10300001,유튜브,
2020,1030001,유튜브,
2020,1030002,유튜브,
2020,10310001,,
2020,10310002,,
2020,10320001,유튜브,
2020,10320003,유튜브,넷플릭스
2020,10320004,유튜브,넷플릭스
2020,10320005,,
2020,10330001,유튜브,
2020,10330002,유튜브,
2020,103390001,넷플릭스,
2020,103390002,유튜브,넷플릭스
2020,103390003,유튜브,
2020,103390004,,
2020,103400001,넷플릭스,유튜브
2020,103400002,유튜브,넷플릭스
2020,103410001,유튜브,
2020,103410002,유튜브,U+ 모바일(구 U+비디오포털)
2020,103410003,유튜브,
2020,103410004,유튜브,
2020,103420001,카카오 TV,유튜브
2020,103420002,유튜브,넷플릭스
2020,103420003,유튜브,카카오 TV
2020,103420004,,
2020,103420005,카카오 TV,시즌(KT Seezn)(구 olleh tv 모바일)
2020,103430001,,
2020,103430002,유튜브,시즌(KT Seezn)(구 olleh tv 모바일)
2020,103430003,티빙(Tving),카카오 TV
2020,103430004,티빙(Tving),카카오 TV
2020,103440001,유튜브,넷플릭스
2020,103440002,유튜브,티빙(Tving)
2020,103440003,곰TV,유튜브
2020,103450001,,
2020,103450002,유튜브,
2020,103450003,넷플릭스,티빙(Tving)
2020,103450004,유튜브,티빙(Tving)
2020,103460001,넷플릭스,
2020,103460002,넷플릭스,
2020,103470001,유튜브,넷플릭스
2020,103470002,유튜브,왓챠
2020,103470003,유튜브,넷플릭스
2020,103470004,유튜브,넷플릭스
2020,10350002,넷플릭스,유튜브
2020,103540001,유튜브,
2020,103540002,,
2020,103550001,유튜브,
2020,103550002,티빙(Tving),에브리온 TV
2020,103550003,U+ 모바일(구 U+비디오포털),에브리온 TV
2020,103550004,U+ 모바일(구 U+비디오포털),에브리온 TV
2020,103560001,유튜브,네이버 시리즈온(SERIES)
2020,103560002,,
2020,103560003,유튜브,곰TV
2020,103560004,유튜브,U+ 모바일(구 U+비디오포털)
2020,103570001,유튜브,
2020,103570002,넷플릭스,유튜브
2020,103580001,넷플릭스,유튜브
2020,103580002,유튜브,넷플릭스
2020,103580003,유튜브,
2020,103580005,웨이브(Wavve)(구 푹(pooq)· 옥수수),
2020,103580006,,
2020,103590001,네이버 시리즈온(SERIES),곰TV
2020,103590002,유튜브,
2020,103590003,유튜브,
2020,103590004,유튜브,
2020,103600001,유튜브,
2020,103600002,유튜브,
2020,103600003,유튜브,
2020,10360001,넷플릭스,유튜브
2020,10360003,유튜브,넷플릭스
2020,103610001,유튜브,티빙(Tving)
2020,103610002,,
2020,103610003,유튜브,티빙(Tving)
2020,103620001,웨이브(Wavve)(구 푹(pooq)· 옥수수),유튜브
2020,103620002,유튜브,
2020,103620003,유튜브,네이버 시리즈온(SERIES)
2020,103620004,유튜브,
2020,103620005,유튜브,
2020,103630001,유튜브,카카오 TV
2020,103630002,,
2020,103630004,,
2020,103660001,유튜브,
2020,103660002,유튜브,네이버 시리즈온(SERIES)
2020,103660003,유튜브,네이버 시리즈온(SERIES)
2020,103670001,유튜브,카카오 TV
2020,103670002,카카오 TV,유튜브
2020,103680001,티빙(Tving),유튜브
2020,103680002,티빙(Tving),유튜브
2020,103700001,유튜브,카카오 TV
2020,103700002,유튜브,카카오 TV
2020,10370001,유튜브,
2020,10370002,유튜브,
2020,103710001,유튜브,넷플릭스
2020,103710002,유튜브,네이버 시리즈온(SERIES)
2020,103710003,유튜브,카카오 TV
2020,103710004,,
2020,103720001,,
2020,103720002,,
2020,103720003,티빙(Tving),넷플릭스
2020,103720004,티빙(Tving),넷플릭스
2020,103730001,유튜브,
2020,103730002,유튜브,카카오 TV
2020,103740001,,
2020,103740002,유튜브,
2020,103750001,웨이브(Wavve)(구 푹(pooq)· 옥수수),유튜브
2020,103750002,유튜브,
2020,103750003,유튜브,넷플릭스
2020,103750004,유튜브,넷플릭스
2020,103760001,,
2020,103760002,,
2020,10380003,유튜브,
2020,103840001,유튜브,
2020,103840002,유튜브,
2020,103840003,넷플릭스,유튜브
2020,103840004,넷플릭스,유튜브
2020,103840005,넷플릭스,유튜브
2020,103850001,유튜브,
2020,103850002,유튜브,
2020,103850003,넷플릭스,웨이브(Wavve)(구 푹(pooq)· 옥수수)
2020,103850004,유튜브,카카오 TV
2020,103860001,유튜브,
2020,103870001,유튜브,시즌(KT Seezn)(구 olleh tv 모바일)
2020,103870002,유튜브,카카오 TV
2020,103880001,,
2020,103880002,,
2020,103890001,유튜브,
2020,103890002,유튜브,넷플릭스
2020,103900001,유튜브,
2020,10390001,유튜브,
2020,10390002,유튜브,
2020,103910001,유튜브,곰TV
2020,103910002,,
2020,103910003,유튜브,넷플릭스
2020,103910004,네이버 시리즈온(SERIES),유튜브
2020,103920001,,
2020,103920002,유튜브,
2020,103920003,유튜브,
2020,10400001,유튜브,
2020,1040001,유튜브,티빙(Tving)
2020,1040002,유튜브,
2020,1040003,유튜브,넷플릭스
2020,10410001,유튜브,
2020,10410002,,
2020,10410101,유튜브,티빙(Tving)
2020,10410102,,
2020,104130001,유튜브,카카오 TV
2020,104130002,유튜브,
2020,104130003,넷플릭스,유튜브
2020,104130004,유튜브,넷플릭스
2020,104140001,,
2020,104140002,유튜브,넷플릭스
2020,104140003,유튜브,넷플릭스
2020,104140004,유튜브,넷플릭스
2020,104150001,유튜브,
2020,104150002,유튜브,
2020,104150003,,
2020,104150004,유튜브,
2020,104160001,유튜브,
2020,104170001,유튜브,네이버 시리즈온(SERIES)
2020,104170002,웨이브(Wavve)(구 푹(pooq)· 옥수수),티빙(Tving)
2020,104170003,유튜브,
2020,104170004,유튜브,
2020,104180001,,
2020,104180002,유튜브,카카오 TV
2020,104180003,유튜브,넷플릭스
2020,104190001,유튜브,
2020,104210002,,
2020,104220001,,
2020,104220002,U+ 모바일(구 U+비디오포털),유튜브
2020,104220003,U+ 모바일(구 U+비디오포털),카카오 TV
2020,104220102,넷플릭스,유튜브
2020,104230001,,
2020,104230002,,
2020,104230004,유튜브,카카오 TV
2020,104240001,,
2020,104240002,,
2020,104240003,유튜브,넷플릭스
2020,104250001,,
2020,104260002,,
2020,104270001,유튜브,
2020,104270002,유튜브,
2020,104270003,유튜브,카카오 TV
2020,104270004,유튜브,네이버 시리즈온(SERIES)
2020,104280002,,
2020,104290001,유튜브,넷플릭스
2020,104290002,유튜브,넷플릭스
2020,104290003,유튜브,넷플릭스
2020,104300001,유튜브,
2020,104300002,유튜브,
2020,104300003,유튜브,웨이브(Wavve)(구 푹(pooq)· 옥수수)
2020,10430001,,
2020,10430002,,
2020,104460001,유튜브,네이버 시리즈온(SERIES)
2020,104460002,,
2020,104460003,유튜브,넷플릭스
2020,104460004,넷플릭스,유튜브
2020,104470001,,
2020,104470002,,
2020,104480001,,
2020,104480002,시즌(KT Seezn)(구 olleh tv 모바일),
2020,104490001,유튜브,넷플릭스
2020,104490002,유튜브,티빙(Tving)
2020,104490003,유튜브,
2020,104500001,,
2020,104500002,유튜브,시즌(KT Seezn)(구 olleh tv 모바일)
2020,104500003,유튜브,넷플릭스
2020,104500004,시즌(KT Seezn)(구 olleh tv 모바일),유튜브
2020,10450001,유튜브,에브리온 TV
2020,10450002,유튜브,티빙(Tving)
2020,10450003,유튜브,티빙(Tving)
2020,104510001,유튜브,카카오 TV
2020,104510002,유튜브,
2020,104510003,유튜브,넷플릭스
2020,104540001,유튜브,
2020,104540002,유튜브,
2020,104550001,유튜브,
2020,104550002,유튜브,
2020,104550003,유튜브,카카오 TV
2020,104560001,,
2020,104560002,유튜브,
2020,104560003,유튜브,웨이브(Wavve)(구 푹(pooq)· 옥수수)
2020,104560004,,
2020,104670001,넷플릭스,유튜브
2020,104670002,넷플릭스,
2020,104670004,넷플릭스,유튜브
2020,104670102,넷플릭스,U+ 모바일(구 U+비디오포털)
2020,104680001,,
2020,104680002,,
2020,104690001,,
2020,104690002,,
2020,104690004,유튜브,아마존 프라임 비디오
2020,104690101,유튜브,아마존 프라임 비디오
2020,104700001,유튜브,넷플릭스
2020,10470001,유튜브,
2020,104700101,웨이브(Wavve)(구 푹(pooq)· 옥수수),넷플릭스
2020,104710001,유튜브,
2020,104710002,,
2020,104710003,유튜브,왓챠
2020,104710004,유튜브,넷플릭스
2020,104720001,유튜브,
2020,104720002,유튜브,
2020,104720003,유튜브,네이버 시리즈온(SERIES)
2020,104720004,유튜브,
2020,104720005,유튜브,
2020,104730001,,
2020,104730002,,
2020,104730003,,
2020,104730004,,
2020,104740001,,
2020,104740002,유튜브,
2020,104750001,넷플릭스,웨이브(Wavve)(구 푹(pooq)· 옥수수)
2020,104750002,유튜브,넷플릭스
2020,104750003,,
2020,104760001,,
2020,104760002,유튜브,
2020,104760003,넷플릭스,웨이브(Wavve)(구 푹(pooq)· 옥수수)
2020,104760004,,
2020,104770001,,
2020,104780001,,
2020,104780002,,
2020,104780003,,
2020,104780004,,
2020,104790001,유튜브,시즌(KT Seezn)(구 olleh tv 모바일)
2020,104790002,유튜브,시즌(KT Seezn)(구 olleh tv 모바일)
2020,104790003,유튜브,시즌(KT Seezn)(구 olleh tv 모바일)
