YEAR,OPID,ott_first,ott_second
2020,1000001,유튜브,
2020,1000002,유튜브,
2020,100001,유튜브,넷플릭스
2020,100002,,
2020,100003,유튜브,
2020,10001,티빙(Tving),넷플릭스
2020,10002,넷플릭스,유튜브
2020,100020001,유튜브,네이버 시리즈온(SERIES)
2020,100020002,네이버 시리즈온(SERIES),유튜브
2020,100020003,유튜브,카카오 TV
2020,10003,넷플릭스,유튜브
2020,100030001,,
2020,10004,유튜브,
2020,100050001,시즌(KT Seezn)(구 olleh tv 모바일),유튜브
2020,100050002,시즌(KT Seezn)(구 olleh tv 모바일),유튜브
2020,100050003,유튜브,네이버 시리즈온(SERIES)
2020,100060001,시즌(KT Seezn)(구 olleh tv 모바일),네이버 시리즈온(SERIES)
2020,100060002,유튜브,카카오 TV
2020,100060003,유튜브,카카오 TV
2020,100060004,유튜브,카카오 TV
2020,100070001,U+ 모바일(구 U+비디오포털),유튜브
2020,100070002,U+ 모바일(구 U+비디오포털),유튜브
2020,100080001,유튜브,네이버 시리즈온(SERIES)
2020,100080002,U+ 모바일(구 U+비디오포털),곰TV
2020,100090001,시즌(KT Seezn)(구 olleh tv 모바일),네이버 시리즈온(SERIES)
2020,100090002,네이버 시리즈온(SERIES),곰TV
2020,100120001,네이버 시리즈온(SERIES),넷플릭스
2020,100120002,,
2020,100130001,넷플릭스,유튜브
2020,100130002,,
2020,100140001,유튜브,
2020,100140002,,
2020,100160001,,
2020,100160002,유튜브,
2020,100160003,유튜브,에브리온 TV
2020,100170001,유튜브,네이버 시리즈온(SERIES)
2020,100170002,유튜브,네이버 시리즈온(SERIES)
2020,100170003,유튜브,U+ 모바일(구 U+비디오포털)
2020,100180001,웨이브(Wavve)(구 푹(pooq)· 옥수수),
2020,100180002,티빙(Tving),네이버 시리즈온(SERIES)
2020,100190001,,
2020,100190002,,
2020,100190003,유튜브,네이버 시리즈온(SERIES)
2020,100200001,웨이브(Wavve)(구 푹(pooq)· 옥수수),카카오 TV
2020,100200002,유튜브,
2020,100200003,,
2020,10020001,유튜브,
2020,10020002,유튜브,웨이브(Wavve)(구 푹(pooq)· 옥수수)
2020,10020003,유튜브,넷플릭스
2020,100210001,,
2020,100210002,,
2020,100250001,웨이브(Wavve)(구 푹(pooq)· 옥수수),유튜브
2020,100250002,,
2020,100250003,,
2020,100260001,,
2020,100260002,,
2020,100270001,유튜브,
2020,100270002,넷플릭스,티빙(Tving)
2020,100280001,유튜브,네이버 시리즈온(SERIES)
2020,100280002,,
2020,100290001,유튜브,
2020,100290002,유튜브,
2020,100300001,유튜브,U+ 모바일(구 U+비디오포털)
2020,100300002,유튜브,
2020,100300003,유튜브,시즌(KT Seezn)(구 olleh tv 모바일)
2020,100300004,유튜브,U+ 모바일(구 U+비디오포털)
2020,100310001,유튜브,U+ 모바일(구 U+비디오포털)
2020,100310002,유튜브,U+ 모바일(구 U+비디오포털)
2020,100310003,유튜브,U+ 모바일(구 U+비디오포털)
2020,100320001,,
2020,100320002,유튜브,티빙(Tving)
2020,100330001,카카오 TV,유튜브
2020,100330002,유튜브,
2020,100360001,,
2020,100360002,유튜브,네이버 시리즈온(SERIES)
2020,100360003,유튜브,넷플릭스
2020,100370001,유튜브,네이버 시리즈온(SERIES)
2020,100370002,,
2020,100370003,유튜브,웨이브(Wavve)(구 푹(pooq)· 옥수수)
2020,100380001,유튜브,U+ 모바일(구 U+비디오포털)
2020,100380002,유튜브,네이버 시리즈온(SERIES)
2020,100390001,유튜브,네이버 시리즈온(SERIES)
2020,100390002,시즌(KT Seezn)(구 olleh tv 모바일),
2020,100390003,유튜브,시즌(KT Seezn)(구 olleh tv 모바일)
2020,100400001,티빙(Tving),카카오 TV
2020,100400002,티빙(Tving),네이버 시리즈온(SERIES)
2020,10040001,유튜브,넷플릭스
2020,10040002,유튜브,넷플릭스
2020,10040003,유튜브,
2020,100410001,유튜브,티빙(Tving)
2020,100410002,,
2020,100420001,유튜브,
2020,100420002,유튜브,
2020,100420003,,
2020,100430001,,
2020,100440002,유튜브,
2020,100440003,웨이브(Wavve)(구 푹(pooq)· 옥수수),유튜브
2020,100440004,유튜브,웨이브(Wavve)(구 푹(pooq)· 옥수수)
2020,100450001,,
2020,100460001,,
2020,100460002,유튜브,
2020,100460003,웨이브(Wavve)(구 푹(pooq)· 옥수수),넷플릭스
2020,100470001,,
2020,100480001,,
2020,100490001,,
2020,100490002,유튜브,
2020,100490003,웨이브(Wavve)(구 푹(pooq)· 옥수수),넷플릭스
2020,100490004,티빙(Tving),웨이브(Wavve)(구 푹(pooq)· 옥수수)
2020,100490005,웨이브(Wavve)(구 푹(pooq)· 옥수수),유튜브
2020,100500001,유튜브,
2020,100500002,유튜브,
2020,10050001,유튜브,
2020,10050002,유튜브,
2020,100510001,유튜브,
2020,100510002,넷플릭스,웨이브(Wavve)(구 푹(pooq)· 옥수수)
2020,100520001,U+ 모바일(구 U+비디오포털),유튜브
2020,100520002,유튜브,
2020,100520003,웨이브(Wavve)(구 푹(pooq)· 옥수수),넷플릭스
2020,100530001,유튜브,
2020,100530002,유튜브,
2020,100530003,웨이브(Wavve)(구 푹(pooq)· 옥수수),넷플릭스
2020,100540001,유튜브,
2020,100550001,,
2020,100550002,넷플릭스,웨이브(Wavve)(구 푹(pooq)· 옥수수)
2020,100550003,티빙(Tving),넷플릭스
2020,100560001,유튜브,
2020,100560002,넷플릭스,웨이브(Wavve)(구 푹(pooq)· 옥수수)
2020,100570001,유튜브,
2020,100570002,유튜브,
2020,100570003,유튜브,넷플릭스
2020,100620001,,
2020,100620002,유튜브,
2020,100620003,유튜브,넷플릭스
2020,100630001,유튜브,넷플릭스
2020,100630002,유튜브,넷플릭스
2020,100640001,넷플릭스,유튜브
2020,100650001,유튜브,U+ 모바일(구 U+비디오포털)
2020,100650002,유튜브,
2020,100660001,유튜브,
2020,100660002,유튜브,
2020,100670001,유튜브,
2020,100670002,유튜브,
2020,100670003,유튜브,카카오 TV
2020,100680001,유튜브,
2020,100680002,유튜브,
2020,100680003,유튜브,티빙(Tving)
2020,100690001,유튜브,웨이브(Wavve)(구 푹(pooq)· 옥수수)
2020,100690002,웨이브(Wavve)(구 푹(pooq)· 옥수수),넷플릭스
2020,100690003,유튜브,
2020,100700001,유튜브,카카오 TV
2020,100700002,유튜브,
2020,100700003,유튜브,
2020,10070001,,
2020,100720001,웨이브(Wavve)(구 푹(pooq)· 옥수수),
2020,100730001,유튜브,
2020,100730002,유튜브,
2020,100730003,유튜브,
2020,100750001,유튜브,넷플릭스
2020,100750002,유튜브,
2020,100760001,유튜브,
2020,100760002,유튜브,
2020,100760003,유튜브,
2020,100770001,유튜브,넷플릭스
2020,100780001,유튜브,
2020,100780002,유튜브,
2020,100790001,유튜브,
2020,100800001,유튜브,
2020,100800002,유튜브,넷플릭스
2020,10080001,유튜브,
2020,100820001,유튜브,
2020,100820002,유튜브,
2020,100820003,유튜브,넷플릭스
2020,100830001,유튜브,
2020,100830002,유튜브,
2020,100830003,유튜브,
2020,100830004,유튜브,넷플릭스
2020,100840002,유튜브,
2020,100860001,,
2020,100860002,,
2020,100860003,유튜브,넷플릭스
2020,100870001,,
2020,100870002,,
2020,100880001,유튜브,넷플릭스
2020,100880002,유튜브,넷플릭스
2020,100880003,유튜브,넷플릭스
2020,100880004,유튜브,
2020,100890001,,
2020,100890002,,
2020,100890003,유튜브,
2020,100890004,유튜브,
2020,100900001,유튜브,넷플릭스
2020,100900002,유튜브,넷플릭스
2020,10090001,유튜브,넷플릭스
2020,10090002,유튜브,넷플릭스
2020,10090003,유튜브,
2020,10090004,유튜브,
2020,10100001,유튜브,
